,Match_Id,Team_Batting_Id,Striker_Id,Runs_Scored
367,336010,5,101,32
368,336011,2,6,66
369,336011,2,7,0
370,336011,2,8,34
371,336011,2,9,0
372,336011,2,10,0
373,336011,2,14,0
374,336011,2,15,0
375,336011,2,94,1
376,336011,2,113,8
377,336011,2,123,4
378,336011,2,124,3
379,336011,4,25,5
380,336011,4,27,1
381,336011,4,29,17
382,336011,4,64,17
383,336011,4,76,31
384,336011,4,100,39
385,336012,3,17,4
386,336012,3,20,23
387,336012,3,21,32
388,336012,3,23,0
389,336012,3,107,14
390,336012,3,109,29
391,336012,3,119,16
392,336012,3,120,15
393,336012,3,125,1
394,336012,8,53,54
395,336012,8,57,23
396,336012,8,58,36
397,336012,8,70,20
398,336012,8,97,10
399,336013,5,31,1
400,336013,5,32,32
401,336013,5,33,4
402,336013,5,35,0
403,336013,5,36,1
404,336013,5,38,7
405,336013,5,39,1
406,336013,5,74,5
407,336013,5,101,39
408,336013,5,102,6
409,336013,5,126,0
410,336013,7,44,18
411,336013,7,46,34
412,336013,7,48,12
413,336013,7,71,1
414,336013,7,114,27
415,336014,3,20,33
416,336014,3,21,1
417,336014,3,23,8
418,336014,3,107,44
419,336014,3,108,40
420,336014,3,109,30
421,336014,3,120,13
422,336014,3,127,8
423,336014,6,40,80
424,336014,6,41,23
425,336014,6,42,59
426,336014,6,86,2
427,336014,6,87,5
428,336014,6,88,6
429,336014,6,110,0
430,336015,1,1,20
431,336015,1,4,26
432,336015,1,62,17
433,336015,1,63,11
434,336015,1,83,17
435,336015,1,104,10
436,336015,1,105,6
437,336015,1,128,2
438,336015,1,129,15
439,336015,2,6,5
440,336015,2,10,30
441,336015,2,11,50
442,336015,2,14,4
443,336015,2,51,7
444,336015,2,130,22
445,336016,5,31,68
446,336016,5,32,5
447,336016,5,33,17
448,336016,5,74,40
449,336016,8,53,61
450,336016,8,54,23
451,336016,8,57,5
452,336016,8,58,13
453,336016,8,59,3
454,336016,8,61,2
455,336016,8,70,1
456,336016,8,97,19
457,336016,8,112,6
458,336016,8,131,1
459,336017,2,6,11
460,336017,2,8,0
461,336017,2,10,26
462,336017,2,11,18
463,336017,2,12,5
464,336017,2,14,8
465,336017,2,81,23
466,336017,2,113,0
467,336017,2,132,20
468,336017,7,44,54
469,336017,7,46,19
470,336017,7,133,40
471,336018,3,20,60
472,336018,3,21,26
473,336018,3,23,64
474,336018,3,107,1
475,336018,3,108,8
476,336018,3,109,7
477,336018,4,24,1
478,336018,4,25,14
